"行","EPSGコード","経度","緯度","拠点番号","拠点名","町名","目　標","開設状況","開設時間","種類"
"98","EPSG:4612","139.69922930555555","35.51578694444444","川崎 10","小田（１）","川崎市川崎区小田1-9-17","小田1丁目中央公園前","× 非開設","-","管路上"
"99","EPSG:4612","139.71577625","35.514517444444444","川崎 24","浜町（２）","川崎市川崎区浜町2-11-22","市立臨港中学校北側","× 非開設","-","管路上"
"100","EPSG:4612","139.584873","35.57178858333333","宮前 2","有馬（１）","川崎市宮前区有馬6-6-1","中有馬交差点東側","× 非開設","-","管路上"
"101","EPSG:4612","139.56473405555556","35.62431294444445","多摩 15","登戸第２公園","川崎市多摩区登戸新町227","登戸第2公園内（貯水槽　容量100立方メートル）","× 非開設","-","貯水槽"
"102","EPSG:4612","139.54693722222223","35.62853536111111","多摩 23","中野島","川崎市多摩区中野島1-16-1","市立中野島中学校東側","× 非開設","-","管路上"
"103","EPSG:4612","139.50005058333332","35.614082583333335","麻生 18","金程","川崎市麻生区金程3-16-1","市立金程中学校東側","× 非開設","-","管路上"
"104","EPSG:4612","139.48595844444444","35.60093947222222","麻生 19","白鳥","川崎市麻生区白鳥1-5-1","市立白鳥中学校南側","× 非開設","-","管路上"
"105","EPSG:4612","139.6889941111111","35.53612866666667","幸 1","都町","川崎市幸区都町39-1","南河原公園東側","× 非開設","-","管路上"
"106","EPSG:4612","139.62001097222222","35.56639327777778","高津 3","久末","川崎市高津区久末637","久末天照大神社南東側","× 非開設","-","管路上"
"107","EPSG:4612","139.74506872222221","35.53730016666667","川崎 6","殿町","川崎市川崎区殿町1-17-19","市立殿町小学校前","× 非開設","-","管路上"
"108","EPSG:4612","139.7191385","35.516742416666666","川崎 8","浜町（１）","川崎市川崎区浜町1-10-3","アキヤマ㈱本社ビル前","× 非開設","-","管路上"
"109","EPSG:4612","139.69747188888888","35.512186166666666","川崎 26","小田（２）","川崎市川崎区小田2-21-7","市立田島中学校西側","× 非開設","-","管路上"
"110","EPSG:4612","139.6934866111111","35.54457263888889","幸 11","戸手","川崎市幸区戸手4-2-1","市立御幸中学校西側","× 非開設","-","管路上"
"111","EPSG:4612","139.65856633333334","35.569065333333334","中原 2","木月住吉町","川崎市中原区木月住吉町1-1","（独）労働者健康安全機構前","× 非開設","-","管路上"
"112","EPSG:4612","139.63877433333334","35.59003030555556","中原 4","宮内","川崎市中原区宮内2-11-1","市営・東急バス　上宮内バス停","× 非開設","-","管路上"
"113","EPSG:4612","139.63950433333332","35.56550338888889","中原 6","井田","川崎市中原区井田1-40","交通局井田営業所車庫前","× 非開設","-","管路上"
"114","EPSG:4612","139.62749141666666","35.57619963888889","高津 2","千年（１）","川崎市高津区千年578","千年交番前","× 非開設","-","管路上"
"115","EPSG:4612","139.6122697222222","35.60635525","高津 4","溝口（１）","川崎市高津区溝口5-24","クリオ溝の口壱番館西側","× 非開設","-","管路上"
"116","EPSG:4612","139.6081465","35.58652663888889","高津 5","新作","川崎市高津区新作1-24-5","橘処理センター西側道路","× 非開設","-","管路上"
"117","EPSG:4612","139.62112419444443","35.58266641666667","高津 11","千年（２）","川崎市高津区千年1300","市立橘中学校南側","× 非開設","-","管路上"
"118","EPSG:4612","139.61674422222222","35.59555116666667","高津 16","久本小学校","川崎市高津区久本3-11-3","市立久本小学校内（貯水槽　容量100立方メートル）","× 非開設","-","貯水槽"
"119","EPSG:4612","139.590829","35.59330858333333","宮前 3","宮崎（１）","川崎市宮前区宮崎3-5-15","市立宮崎台小学校北東側","× 非開設","-","管路上"
"120","EPSG:4612","139.5615476111111","35.59424258333333","宮前 5","菅生（１）","川崎市宮前区菅生6-33-13","ハイツブルーム前","× 非開設","-","管路上"
"121","EPSG:4612","139.53706966666667","35.59414205555556","宮前 6","菅生ケ丘","川崎市宮前区菅生ケ丘29-8","稗原交差点北側","× 非開設","-","管路上"
"122","EPSG:4612","139.58690205555556","35.60161591666667","宮前 8","東高根森林公園","川崎市宮前区神木本町2-10-1","東高根森林公園内（貯留管　容量70立方メートル）","× 非開設","-","貯留管"
